date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:17	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:17%20GMT	https://startup-tailwind.preview.uideck.com/404.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/404.html	(from https://startup-tailwind.preview.uideck.com/)
12:11:17	44085/44085	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2009:11:17%20GMT	https://startup-tailwind.preview.uideck.com/404	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/404.html	(from https://startup-tailwind.preview.uideck.com/)
12:11:17	259288/259288	---M--	200	added ('OK')	image/jpeg	etag:%22261773575c63ebb1d7b9e02f3ff268f6%22	https://startup-tailwind.preview.uideck.com/images/video.jpg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/video.jpg	(from https://startup-tailwind.preview.uideck.com/)
12:11:17	1300/1300	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220bda9861489b87199c7be46baf3163cd%22	https://startup-tailwind.preview.uideck.com/images/shape.svg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/shape.svg	(from https://startup-tailwind.preview.uideck.com/)
12:11:17	8265/8265	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224d4d37dfbc930db8cb789fd813ab3073%22	https://startup-tailwind.preview.uideck.com/images/uideck.svg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/uideck.svg	(from https://startup-tailwind.preview.uideck.com/)
12:11:18	5799/5799	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f82b76604fd80f3a584b7e0382a46fe%22	https://startup-tailwind.preview.uideck.com/images/tailgrids.svg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/tailgrids.svg	(from https://startup-tailwind.preview.uideck.com/)
12:11:18	5850/5850	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22550f1987ed437499d37faeba6dde027c%22	https://startup-tailwind.preview.uideck.com/images/lineicons.svg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/lineicons.svg	(from https://startup-tailwind.preview.uideck.com/)
12:11:18	1451/1451	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d47baf7763888b2bfa4d8188aeb76ece%22	https://startup-tailwind.preview.uideck.com/images/ayroui.svg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/ayroui.svg	(from https://startup-tailwind.preview.uideck.com/)
12:11:18	6479/6479	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22972e03966849f7aa80f6342dfcf13fb7%22	https://startup-tailwind.preview.uideck.com/images/plainadmin.svg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/plainadmin.svg	(from https://startup-tailwind.preview.uideck.com/)
12:11:19	53614/53614	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224378050433b01c6d46c4aaa54ca75745%22	https://startup-tailwind.preview.uideck.com/images/about-image.svg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/about-image.svg	(from https://startup-tailwind.preview.uideck.com/)
12:11:19	2737/2737	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22135451d3bd5da651863d18060233834d%22	https://startup-tailwind.preview.uideck.com/images/about-image-2.svg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/about-image-2.svg	(from https://startup-tailwind.preview.uideck.com/)
12:11:19	5921/5921	---M--	200	added ('OK')	image/png	etag:%22cc1f702a2f181be6e7c26aabc493c3f3%22	https://startup-tailwind.preview.uideck.com/images/auth-01.png	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/auth-01.png	(from https://startup-tailwind.preview.uideck.com/)
12:11:19	4640/4640	---M--	200	added ('OK')	image/png	etag:%22825dcb3edb8ea8dd503ab39a6f64543b%22	https://startup-tailwind.preview.uideck.com/images/auth-02.png	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/auth-02.png	(from https://startup-tailwind.preview.uideck.com/)
12:11:19	4320/4320	---M--	200	added ('OK')	image/png	etag:%22a7c1ae17e9550e32a0048af9000d6adc%22	https://startup-tailwind.preview.uideck.com/images/auth-03.png	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/auth-03.png	(from https://startup-tailwind.preview.uideck.com/)
12:11:20	95643/95643	---M--	200	added ('OK')	image/jpeg	etag:%224aaeefdbc2220c7bffafb5850c10bfb8%22	https://startup-tailwind.preview.uideck.com/images/blog-01.jpg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/blog-01.jpg	(from https://startup-tailwind.preview.uideck.com/)
12:11:20	2643/2643	---M--	200	added ('OK')	image/png	etag:%2255e6521378b856c1e6b3403ea0b65ac9%22	https://startup-tailwind.preview.uideck.com/images/author-01.png	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/author-01.png	(from https://startup-tailwind.preview.uideck.com/)
12:11:20	94496/94496	---M--	200	added ('OK')	image/jpeg	etag:%22334855bfd7de493b642f3a9f673eec97%22	https://startup-tailwind.preview.uideck.com/images/blog-02.jpg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/blog-02.jpg	(from https://startup-tailwind.preview.uideck.com/)
12:11:20	4035/4035	---M--	200	added ('OK')	image/png	etag:%222bd2c196e1cbecfbcbd82d118c17746a%22	https://startup-tailwind.preview.uideck.com/images/author-02.png	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/author-02.png	(from https://startup-tailwind.preview.uideck.com/)
12:11:20	95239/95239	---M--	200	added ('OK')	image/jpeg	etag:%2251d662553eeebf80a1037de40ea7cd08%22	https://startup-tailwind.preview.uideck.com/images/blog-03.jpg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/blog-03.jpg	(from https://startup-tailwind.preview.uideck.com/)
12:11:21	2990/2990	---M--	200	added ('OK')	image/png	etag:%22907d3eec782776dfb10f49ac63c9fc82%22	https://startup-tailwind.preview.uideck.com/images/author-03.png	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/author-03.png	(from https://startup-tailwind.preview.uideck.com/)
12:11:21	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:21%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/)
12:11:21	84268/84268	---MCZ	200	added ('OK')	application/javascript	etag:W/%2288f16ce7b338a2261d4a1b68dbf5b8d5%22	https://startup-tailwind.preview.uideck.com/bundle.js	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/bundle.js	(from https://startup-tailwind.preview.uideck.com/)
12:11:21	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2002%20Jun%202026%2009:11:21%20GMT	https://startup-tailwind.preview.uideck.com/cdn-cgi/challenge-platform/scripts/jsd/main.js	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/cdn-cgi/challenge-platform/scripts/jsd/main.js	(from https://startup-tailwind.preview.uideck.com/)
12:11:22	23626/23626	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2002%20Jun%202026%2009:11:22%20GMT	https://startup-tailwind.preview.uideck.com/cdn-cgi/challenge-platform/h/g/scripts/jsd/8fc8ed1d8752/main.js?	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/cdn-cgi/challenge-platform/h/g/scripts/jsd/8fc8ed1d8752/maind41d.js	(from https://startup-tailwind.preview.uideck.com/)
12:11:22	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:22%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/about)
12:11:22	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:22%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/about)
12:11:22	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:22%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/about)
12:11:23	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:23%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/contact)
12:11:23	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:23%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/contact)
12:11:23	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:23%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/contact)
12:11:23	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:23%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/blog-grids)
12:11:24	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:24%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/blog-grids)
12:11:24	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:24%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/blog-grids)
12:11:24	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:24%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/blog-sidebar)
12:11:25	152127/152127	---M--	200	added ('OK')	image/jpeg	etag:%2209c60a1ea4846246ee1d0e8dac991950%22	https://startup-tailwind.preview.uideck.com/images/blog-details-01.jpg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/blog-details-01.jpg	(from https://startup-tailwind.preview.uideck.com/blog-sidebar)
12:11:25	11431/11431	---M--	200	added ('OK')	image/jpeg	etag:%22d448e40ee1c9ea80526f458fa9d75cd5%22	https://startup-tailwind.preview.uideck.com/images/post-01.jpg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/post-01.jpg	(from https://startup-tailwind.preview.uideck.com/blog-sidebar)
12:11:25	9375/9375	---M--	200	added ('OK')	image/jpeg	etag:%228e2a89864f45cc00f2bb92f2857d6471%22	https://startup-tailwind.preview.uideck.com/images/post-02.jpg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/post-02.jpg	(from https://startup-tailwind.preview.uideck.com/blog-sidebar)
12:11:26	7456/7456	---M--	200	added ('OK')	image/jpeg	etag:%227bc3d76ba0d4c4ed1cf82a997c9eb5df%22	https://startup-tailwind.preview.uideck.com/images/post-03.jpg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/post-03.jpg	(from https://startup-tailwind.preview.uideck.com/blog-sidebar)
12:11:26	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:26%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/blog-sidebar)
12:11:26	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:26%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/blog-details)
12:11:27	136271/136271	---M--	200	added ('OK')	image/jpeg	etag:%2222f2d3d31301eeedc892d357c91d82e4%22	https://startup-tailwind.preview.uideck.com/images/blog-details-02.jpg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/blog-details-02.jpg	(from https://startup-tailwind.preview.uideck.com/blog-details)
12:11:27	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:27%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/blog-details)
12:11:27	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:27%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/signin)
12:11:27	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:27%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/signin)
12:11:28	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:28%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/signup)
12:11:28	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:28%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/signup)
12:11:28	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:28%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/404)
12:11:29	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:29%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/404)
